gameId,creationTime,gameDuration,seasonId,winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
3326086514,1.50E+12,1949,9,1,2,1,1,1,1,2
3229566029,1.50E+12,1851,9,1,1,1,1,0,1,1
3327363504,1.50E+12,1493,9,1,2,1,1,1,2,0
3326856598,1.50E+12,1758,9,1,1,1,1,1,1,0
3330080762,1.50E+12,2094,9,1,2,1,1,1,1,0
3287435705,1.50E+12,2059,9,1,2,2,1,1,2,0
3314215542,1.50E+12,1993,9,1,1,2,1,1,1,1
3329224025,1.50E+12,1334,9,1,1,1,0,0,2,1
3318040883,1.50E+12,1387,9,2,2,2,2,0,2,2
3327786881,1.50E+12,2681,9,2,2,2,2,2,2,0
3325996400,1.50E+12,1391,9,2,2,2,2,2,2,2
3284613292,1.50E+12,1671,9,1,1,2,1,0,2,1
3321570535,1.50E+12,2071,9,1,1,1,0,1,2,1
3323144943,1.50E+12,1942,9,1,2,2,1,0,1,0
3329332855,1.50E+12,2374,9,2,2,2,1,1,2,0
3322311228,1.50E+12,1717,9,1,2,1,1,0,1,0
3316242660,1.50E+12,2390,9,2,2,2,2,2,2,0
3330057565,1.50E+12,1994,9,1,2,1,1,1,1,1
3318940474,1.50E+12,1513,9,2,1,2,2,0,2,0
